INM00042027  34.0833   74.8333 1585.0    SRINAGAR                       1962 2023  25295
INM00042056  32.6667   74.8333  318.0    JAMMU                          2015 2023   2098
INM00042071  31.6333   74.8667  229.0    AMRITSAR                       1957 2022   2901
INM00042079  31.5333   76.9000  874.0    SUNDERNAGAR                    2016 2023   1948
INM00042101  30.3333   76.4667  251.0    PATIALA                        1975 2022  24001
INM00042103  30.3833   76.7667  273.0    AMBALA                         1928 2021  19567
INM00042111  30.3167   78.0333  683.0    DEHRADUN                       1973 2023  12742
INM00042123  29.9167   73.8833  172.0    GANGANAGAR                     2015 2023   3539
INM00042165  28.0000   73.3000  223.0    BIKANER                        1973 2023  18431
INM00042170  28.2500   74.9167  290.0    CHURU                          2015 2023   3034
INM00042182  28.5833   77.2000  211.0    NEW DELHI/SAFDARJUNG           1930 2023  70157
INM00042189  28.3667   79.4000  167.0    BAREILLY                       1973 2023   7004
INM00042260  27.1500   77.9667  168.0    AGRA                           1926 2019   7833
INM00042273  27.5667   81.6000  123.0    BAHRAICH                       1973 2019   9788
INM00042299  27.3333   88.6167 1756.0    GANGTOK                        2016 2023   1905
INM00042314  27.4833   95.0167  110.0    DIBRUGARH /MOHANBARI           1945 2022  32827
INM00042328  26.9000   70.9167  231.0    JAISALMER                      2015 2023   3975
INM00042339  26.3000   73.0167  217.0    JODHPUR                        1935 2023  65777
INM00042348  26.8167   75.8000  383.0    JAIPUR / SANGANER              1973 2023  21331
INM00042361  26.2333   78.2500  205.0    GWALIOR                        1938 2023  44704
INM00042369  26.7500   80.8833  122.0    LUCKNOW/AMAUSI                 1967 2023  49497
INM00042379  26.7500   83.3667   78.3    GORAKHPUR                      1973 2023  33447
INM00042382  26.9830   84.8500   79.0    RAXAUL                         1973 1978   1140
INM00042397  26.6667   88.3667  123.0    SILIGURI                       1973 2015  19334
INM00042399  26.5333   88.7167   83.0    JALPAIGURI                     2015 2020   1808
INM00042410  26.1000   91.5833   54.0    GUWAHATI                       1956 2023  55106
INM00042416  26.7170   92.8000   75.0    TEZPUR/BINDUKURI               1973 1975    424
INM00042435  25.7500   71.3833  193.0    BARMER                         2015 2023   3480
INM00042452  25.1500   75.8500  273.0    KOTA AERODROME                 2015 2022   2054
INM00042475  25.4500   81.7330   98.0    ALLAHABAD/BAMHRAULI            1930 2008  22123
INM00042492  25.6000   85.1667   51.0    PATNA                          1928 2023  21903
INM00042498  25.2333   86.9500   44.0    BHAGALPUR                      1973 2023   6731
INM00042516  25.5667   91.8833 1598.0    SHILLONG                       1953 2019    373
INM00042539  24.2000   72.2000  135.0    DEESA                          1973 2022   3156
INM00042542  24.6167   73.8833  509.0    UDAIPUR DABOK                  1976 2022  11084
INM00042543  24.5830   73.7000  582.0    UDAIPUR                        1973 1975   1174
INM00042591  24.7500   84.9500  116.0    GAYA                           1938 2023  24883
INM00042623  24.7667   93.9000  781.0    IMPHAL/TULIHAL                 1973 2023  19970
INM00042634  23.2500   69.8000   78.0    BHUJ-RUDRAMATA                 1973 2022  13022
INM00042647  23.0667   72.6333   55.0    AHMADABAD                      1928 2023  61479
INM00042667  23.2833   77.3500  522.0    BHOPAL/BAIRAGHAR               1973 2023  36255
INM00042675  23.2000   79.9500  397.0    JABALPUR                       1928 2023  20531
INM00042700  23.3670   85.3330  612.0    USAF-DS3-276                   1973 1993   4605
INM00042701  23.3167   85.3167  646.0    M.O. RANCHI                    1929 2022  12425
INM00042704  23.4670   87.4330   72.0    USAF-DS3-277                   1973 1990   2919
