  n  E[WN]   sigma_WN     W50     W90      W95     W99
  1   0.00    0.00       0.00    0.00     0.00    0.00
  2   1.13    0.85       0.95    2.33     2.77    3.64
  3   1.69    0.89       1.59    2.90     3.31    4.12
  4   2.06    0.88       1.98    3.24     3.63    4.40
  5   2.33    0.86       2.26    3.48     3.86    4.60
  6   2.53    0.85       2.47    3.66     4.03    4.76
  7   2.70    0.83       2.65    3.81     4.17    4.88
  8   2.85    0.82       2.79    3.93     4.29    4.99
  9   2.97    0.81       2.92    4.04     4.39    5.08
 10   3.08    0.80       3.02    4.13     4.47    5.16
 11   3.17    0.79       3.12    4.21     4.55    5.23
 12   3.26    0.78       3.21    4.29     4.62    5.29
 13   3.34    0.77       3.29    4.35     4.69    5.35
 14   3.41    0.76       3.36    4.41     4.74    5.40
 15   3.47    0.76       3.42    4.47     4.80    5.45
 16   3.53    0.75       3.48    4.52     4.85    5.49
 17   3.59    0.74       3.54    4.57     4.89    5.54
 18   3.64    0.74       3.59    4.61     4.93    5.57
 19   3.69    0.73       3.64    4.65     4.97    5.61
 20   3.73    0.73       3.69    4.69     5.01    5.65
 21   3.78    0.72       3.73    4.73     5.05    5.68
 22   3.82    0.72       3.77    4.77     5.08    5.71
 23   3.86    0.72       3.81    4.80     5.11    5.74
 24   3.90    0.71       3.85    4.83     5.14    5.77
 25   3.93    0.71       3.88    4.86     5.17    5.79
 26   3.96    0.70       3.92    4.89     5.20    5.82
 27   4.00    0.70       3.95    4.92     5.23    5.84
 28   4.03    0.70       3.98    4.95     5.25    5.87
 29   4.06    0.70       4.01    4.97     5.28    5.89
 30   4.09    0.69       4.04    5.00     5.30    5.91
 31   4.11    0.69       4.06    5.02     5.32    5.93
 32   4.14    0.69       4.09    5.04     5.35    5.95
 33   4.16    0.68       4.12    5.07     5.37    5.97
 34   4.19    0.68       4.14    5.09     5.39    5.99
 35   4.21    0.68       4.17    5.11     5.41    6.01
 36   4.24    0.68       4.19    5.13     5.43    6.03
 37   4.26    0.68       4.21    5.15     5.45    6.04
 38   4.28    0.67       4.23    5.17     5.46    6.06
 39   4.30    0.67       4.25    5.19     5.48    6.08
 40   4.32    0.67       4.27    5.20     5.50    6.09
 41   4.34    0.67       4.29    5.22     5.52    6.11
 42   4.36    0.67       4.31    5.24     5.53    6.12
 43   4.38    0.66       4.33    5.25     5.55    6.14
 44   4.40    0.66       4.35    5.27     5.56    6.15
 45   4.42    0.66       4.37    5.28     5.58    6.16
 46   4.43    0.66       4.39    5.30     5.59    6.18
